expert_slots,cache_mib,samples,median_decode_tps,median_prompt_tps,hit_rate,minimum_free_rate,median_peak_compressor_growth_gib,median_peak_swap_growth_mib,gate_threshold_tps,safety_stop_rate
16,1136,5,11.33,5.529953917050691,0.4897549019607843,0.51,0.698089599609375,0.0,9.6305,0.25
24,1704,5,11.329,5.509641873278237,0.5714583333333333,0.49,1.2164459228515625,0.0,9.6305,0.25
32,2272,5,11.001,5.514705882352941,0.6372916666666667,0.47,1.605377197265625,0.0,9.6305,0.25
48,3408,5,10.495,5.44464609800363,0.7387254901960785,0.43,3.0843658447265625,0.0,9.6305,0.25
64,4544,5,10.177,5.405405405405405,0.8116911764705882,0.4,3.6779937744140625,0.0,9.6305,0.25
96,6816,5,10.12,5.300353356890459,0.9012745098039215,0.32,5.693359375,31.9399995803833,9.6305,0.25
